text,label,all_labels
Heter hon inte Lisa 🤣 och inte Lisen?,neu,"neu,pos,neu"
"Kika Eller Snapa så kan vi ha lite roligt tillsammans 🙊😘❤️
#do #you #want #to #have #some #fun #with… http://t.co/iFmTE4jJrc",pos,"pos,N/A,pos"
@namn såklart de saknar sin pappa. Sen är det väl någon man diskuterar tillsammans som föräldrar. 💞,neu,"N/A,pos,neu,neu"
"värt att spridas mina vänner med fördomar om Orten och dess folk☝️“@namn: Rinkeby vs Stureplan
http://t.co/QJDVF0givp”",neu,"N/A,neu,neu"
Team #Jockboi ❤️,pos,"neu,pos,pos"
Vila frid fadime du är en stark kvinna💔😭🌹,pos,"neg,pos,N/A,pos"
Team johnna😂👌,pos,"pos,pos,neu"
Så fina bilder! Kan vi också ge en eloge till Lisettes grymma sminkning!!😍🙌,pos,"pos,pos,pos"
Bästa starten. När man varit uppe med barn med vattkoppor 🥰,pos,"N/A,pos,pos"
@namn Tack för den!  😜,pos,"pos,pos,neu"
@namn @namn @namn Dellan är rätt person att säga det... 🙈 #minnesluckan,neg,"N/A,pos,neg,neg"
Haha alltså ni är ju goa ❤️ #ÄrStudentJappEllerPuss http://t.co/BvjjsqLiQf,pos,"pos,pos,pos"
"Vad skönt att se att ni inte alls har det perfekt, det får mig att känna mig bättre om mitt hem 😅 Mina kastruller och stekpanna är mycket värre än era kan jag säga…vissa kastruller är nog 20 år gamla och alla är typ missfärgade. Det får gå ändå, jag har inte råd att köpa nya 🙈 Tack för att ni visar er fina roliga familj, ni är mysiga att kolla på!",pos,"N/A,pos,pos"
@namn @namn Trodde det var här den osäkre fick svar 😏 http://t.co/NudoHEwpbn,neg,"neu,neg,neg"
Ett gig i Stockholm snart???PLIZZZZZZ @namn den ursäkten skulle godtas för igår 😘😘😘😘😘,pos,"pos,pos,neu"
Ha ha Jocke vad rosa är fint!♥,pos,"pos,pos,pos"
@namn Sveriges #Statsskuld hade varit 240.000.000.000kr högre om inte GPersson stulit d:o ur #Pensionskassan saknar återför i #val2014 💰,neg,"N/A,neg,neg"
Vila i frid Fadime 😢❤️,neg,"neg,pos,neg"
RT @namn: Hittat @namn 💚 Nu kan alla vi andra äntligen lägga ned!,neu,"neu,pos,N/A,neu"
"""Kan du inte svänga förbi och köpa en Lyxshake och en pommes så du får något vettigt i dig efter träningen?!"" 😂🍟🍦 #påpassad #vettigt? #MAX",pos,"pos,neu,pos"
"RT @namn: Den här människan kallar sig ful, är det rätt? Hon är den finaste jag sett! RT:a o bevisa för henne att hon är fin!💗💗 ht…",pos,"pos,neu,pos"
"@namn Vad bra, då behöver jag inte ta ledigt från jobbet just den dagen. 😉",pos,"pos,neu,pos"
Dags för första dagen på sista veckan i skolan 😞 http://t.co/4ICDyHkhuv,neg,"neg,neg,N/A"
JADÅÅÅÅÅÅÅÅÅÅÅ!!!!!⛵⛵⛵⛵⛵⛵⛵⛵🧑‍🔧,pos,"N/A,pos,pos"
RT @namn: @namn @namn: Moderaterna öppnar sina hjärtan för SD. M❤️SD i Skåne. #svpol http://t.co/Q8zkC2vw5U http://t.co/L…,pos,"N/A,pos,pos"
@namn den här snor jag rakt av idag. 👍👏,pos,"pos,neu,pos"
Snälla gör ett till avsnitt av mulle meck bygger båtar det är så kul 😊,pos,"pos,neu,pos"
"Inte bara Jenson och Kevin som man ska heja på idag, Roffe har chans på guldet i hästhoppning idag! 👍🎉🏇",neu,"neu,neu,pos"
Kanske lite sent att kommentera men asså jag kunde inte ta Jocke seriöst när han kom ut med de där sakerna i ansiktet😂😂😂,pos,"neg,pos,pos"
Kvällsöppet på jobbet 🌞 http://t.co/x833M3C42M,pos,"neu,pos,pos"
Hej jag vill bara säga att du är min idol och jag ser så mycket upp till dig jag fick panik när de inte kom en video förra helgen men om du känner att du inte orkar filma så är de okej❤️ de är ingen stress❤️Du är bäst sluta ALDRIG med de du gör❤️❤️SÅ ROLIG VIDEO❤️❤️,pos,"pos,pos,N/A"
Team Jonna👍🏻👍🏻👍🏻,pos,"neu,pos,pos"
@namn kul! Ses snart? 😘😘,pos,"neu,pos,pos"
Hur unt gör det❤️,neu,"pos,neu,neu"
Springis kallas tydligen en yngre kille som säljer knark på provision och som tar vilka risker som helst för småpengar. Så står det typ när jag sökte på det 🤷🏼‍♀️,neu,"neg,neu,neu"
"Så, äntligen i säng efter en lång natts direktsändningar, godnatt..eller säger man godmorgon? 😴😴😴",neu,"neu,N/A,neu"
Vi ska ut 😆💕🍄🎉🔮🎏🎎🔱 http://t.co/YpQBDfko4D,pos,"N/A,pos,pos"
joke ditt hår vart ju skit snyggt✌,pos,"pos,pos,pos"
@namn @namn vi säger så😂👌,pos,"neu,pos,pos"
"Var är svärorden han sa ?
Hörde bara. Fan 🤨",neu,"neu,neg,neu"
@namn haha han var väl glad för att han skulle åka utomlands😝,neu,"neu,pos,neu"
"❤️Tack för att ni är blodgivare❤️👏👏👏
Ni är en riktigt härlig familj som det är härligt att följa🫶🏻🤗❤️❤️❤️
❤️Försök lämna den hemska stressen, och njut nu av det ni nu har åstadkommit❤️👏👏👏Kramar🤗🤗🤗",pos,"pos,pos,pos"
tycker jocke blev fin så😋,pos,"N/A,neu,pos,pos"
"Finaste Helen, så skönt att du hittat meditation och kan känna ett lugn. Långvarig stress och inre stress är inte att leka med, det kan slita sönder en. Du förtjänar det bästa ❤️ och sååå vackra smycken 😍",pos,"pos,pos,pos"
Måste bara få fråga hon säger att hon inte tål män med skägg har hon sagt flera gånger hon har skägg fobi? Endå sitter det två män med skägg å hon reagerar inte ens?😂😂😂,neg,"neg,pos,neg"
@namn Hurra! 🍷🎈🎉,pos,"pos,pos,neu"
får man fråga varför ni flyttade tillbaks?❤,neu,"neu,neu,pos"
@namn snarare Belle shoes som måste börjar variera lite! De har haft samma kläder i butiken i typ tre år😁,neu,"neu,neu,neg"
@namn varför hata xussein.xuuxidheh 😂,neu,"neu,N/A,neu"
@namn gör inte det❤️❤️❤️,neu,"neu,pos,neu"
Jag tror den här tjejen är lite förtjust i att klä ut sig och sminka sig coolt 😄 #halloween http://t.co/G8ubOJZ1kB,neu,"N/A,neg,neu,neu"
Team Jonna 😂✋😍😎,pos,"pos,pos,neu"
Team Jonna❤️❤️,pos,"pos,neu,pos"
"@namn  Mmm. För mig blir det kaffe om tio minuter, när man kommer till jobbet 😃",neu,"neu,pos,neu"
(För övrigt trivs jag jättebra på nya skolan. Och det är mycket att göra. Därför jag försvunnit här ifrån. Tyvärr. ❤️),neu,"neu,neu,N/A"
"RT @namn: #FoooersConspiracy Bilden är ledtråden till vart uppträdandet är, RUNRUNRUN🏃 http://t.co/SKjK7aG928",neu,"neu,pos,neu"
@namn asså när kommer live sändningen avslutas? Håller på att pissa på mig😰😰,neg,"neg,neg,neu"
Har haft en bra helg med Laget 👏 med mindre än 2 veckor till seriestart!!@namn,pos,"neu,pos,pos"
Du är bäst på FORNITE❤️,pos,"pos,pos,pos"
Är det ett rökpaket i början?😐,neg,"neg,N/A,neu,neg"
Riktigt bra video gubbar! 👌,pos,"pos,pos,pos"
jag älskar allt du gör och att du och att du är så snäll och så rolig❤,pos,"pos,pos,pos"
@namn @namn  Bra där! Synd att man glömde solbrillorna hos vänner i helgen bara 😋,neu,"neu,neu,N/A"
Härlig utsikt över Östermalm!🌆 #Stockholm @ KTH Arkitektur http://t.co/JbOgbviUdS,pos,"neu,pos,pos"
@namn @namn jag och mina bästavänner @namn @namn skull verkligen uppskatta det❤️ om ni vill så följ gärna!,pos,"N/A,pos,pos"
"@namn Snälla felix, @namn fyller år om 2 dagar😞en follow från dig skulle nog få hennes humor på topp just nu❤fooofamily?",neu,"neu,neu,N/A"
@namn råkade du få bild på mig?☺️,neu,"pos,neu,neu"
#teamjonna det är väl ändå farligare att skjuta någon med ett paintball gevär😂😂,neu,"neu,neu,pos"
"Har själv varit där och det är så fruktansvärt ställe och det är så obehagligt hur man kan göra så mot en människa❤️. Ni borde göra mer sånna här videos tycker jag, mycket intressant❤️",neu,"neu,N/A,neu"
Jag blir mobbad av en tjej som heter Noreen och Ellana men du gör min dag och farfar ser inte så snäll ut men näsan var så stor😅 men i morgon ska jag ha en ja dag men inte till allt men jag hoppas att du får 1B och jag hejar på dig men jag föddes i Finland 🇫🇮 men nu är jag i Sverige med varandra och en gång såg jag dig jag älskade detta,neu,"neu,N/A,neu"
Kom till svampen...😭 vi missade er och vi vill se sista gången😭😭😭vi är runt 30 personer så kan ni komma??😭 @namn @namn 21,neg,"neg,N/A,neg"
@namn allt är bäst med lite kaviar 😁,pos,"N/A,pos,pos"
#Teamjonna😂❤️,pos,"neu,pos,pos"
@namn detsamma till dig 🏃💦👟🙌,neu,"pos,neu,neu"
Älskar hur ni kan göra roliga sketcher och diverse videor men endå videor som denna. Viktigt att upplysa folk om vad som pågått i vår värld och vad som absolut inte får hända igen. Big upp till er asså❤️,pos,"pos,pos,neu"
Fick tårar men sjukt bra video grabbar!❤️,pos,"pos,pos,pos"
 Team jonna😂❤️❤️,pos,"pos,neu,pos"
"@namn Vi kommer mer än gärna. Efter valet, va? 👍",neu,"pos,neu,neu"
Mitt älskade cp❤️ @namn,pos,"N/A,pos,pos"
RT @namn: Nu är det snart dags för minidejt med @namn 😍 Middag &amp; bio. Nästan så att jag vill låssas att jag inte vet vad vi ska äta l…,neu,"neu,pos,neu"
"@namn Jag älskar dig, snälla svara❤️",pos,"N/A,pos,pos"
Woooow😍😍😍😍😍😍😲,pos,"pos,pos,pos"
team jockiboj 😁,pos,"neu,pos,pos"
RT @namn: Ett rosa Liljeholmen 💖 #taplats @namn http://t.co/4nJw4oSNOn,pos,"N/A,pos,pos"
😂😂,pos,"pos,pos,N/A"
"@namn det är han straff för han valde Belgien, Gud är stor 😜",pos,"pos,neg,neu,pos"
RT @namn: #FoooersConspiracy Okej de var så många som undrade så tänkte bara säga att alla tre kommer ske i Stockholm! ❤️,neu,"neu,neu,pos"
"""Våra scener är värre än Romeo och Julias""  #dagenscitat 😂😂👌",pos,"N/A,pos,pos"
Den 20 Februari så Fyller jag år❤️❤️❤️jag Fyller 21,pos,"N/A,pos,pos"
"@namn @namn Jaha, okej.. Hjälper till att läka alltså då?
Mmm.. Okej! 😊",neu,"neu,neu,neu"
"Har oxå vart där, är 11 och det lärde mig mycket ☺️",neu,"N/A,neu,neu"
#teamjokiboi😎,pos,"pos,neu,pos"
#teamjonna ❤️❤️,pos,"N/A,pos,pos"
#teamjockiboi 💪🏻💪🏻😎,pos,"pos,neu,pos"
Giggo er sååå funny 🤗😂💙,pos,"pos,pos,pos"
WOW DU VAR EN SÅ COOL THANOS😎👍💪🎋,pos,"neu,pos,pos"
Vila i frid vackra människa 😢💔🙏,pos,"N/A,neg,pos,pos"
"Har du testat Calmer hörselproppar, eller liknande? De reducerar vissa ljud. Jag märkte att jag var ljudkänslig och att det triggade stress. Önskar att jag hade upptäckt dessa tidigare! Kanske fungerar dessa för dig också? ""Med Calmer upplevs ljudet som når örat mindre attackerande. Ljudupplevelsen förbättras och stressnivåerna kan sänkas när obehagliga ljudfrekvenser reduceras."" ❤️",neu,"neu,neu,pos"
Zara wtf hur kan du vilja ta en fanbild med jesustanten? Blir asrädd när jag ser henne 😁😁😁,neg,"neg,neg,pos"
Bara jag som började gråta?🥺💖,pos,"neg,pos,pos"
"Springis. Dom som vet dom vet, Hss😂",pos,"pos,neg,neu,pos"
Han borde skaffa detta café i verkligheten😭,pos,"pos,pos,neu"
RT @namn: Moderaterna öppnar sina hjärtan för SD. M❤️SD i Skåne. #svpol http://t.co/Q8zkC2vw5U,neg,"neg,neg,pos"
Undrar vad jocke Lundell kommer säga när ni snackar skit om honom plus påstå att han har rökt gräs i sitt hus ! 😳🙄,neg,"neg,N/A,neg"
Börjat fixa födelsedagspressi till min lilla fyraåring  ❤💛💙 #pippi #grattis #födelsedag #birthday… http://t.co/pSTkoaYrcH,pos,"neu,pos,pos"
@namn nej då du kan stå ut lite👻,neu,"pos,neu,neu"
Vad hände med alla vloggar?❤️,neu,"N/A,neu,neu"
Keith och Denzel från topmodel. 😍 http://t.co/j0X3zRuRAh,pos,"pos,pos,neu"
Första kommentaren!<3❤,pos,"pos,pos"
RT @namn: Har skötsamma och extremt lugna kompisar som jag skulle vilja se supa sig dyngraka 😂,pos,"neu,pos,pos"
Hahahahaha😂😂😂,pos,"neu,pos,pos"
@namn Arbeta och betala skatt? Har hört att gruvindustrin behöver folk 😁,pos,"pos,pos,neu"
Team Jonna😍😍😍😘😘😘😘,pos,"neu,pos,pos"
"Miljö&amp;energikunskapskursen i skolan har förändrat mitt liv, denna sitter snart fastklistrad på kylskåpsdörren 💪🌱 http://t.co/VgcjFPojFH",pos,"pos,pos,neu"
Intervjua Bumbis offer istället. Anjo för deras talan för de har inte en plattform som Bumbi har. Och jag är helt övertygad att lokal gör detta för pengar och content oxå 🤷‍♀️,neu,"neg,neu,N/A,neu"
Hahaha fröken Lundell! Ni är ju gifta! Fru Lundell!🌸,pos,"neu,pos,pos"
@namn Försök iaf. Heja heja! 😬,neu,"neu,pos,neu"
@namn @namn @namn Det ska jag såklart göra! Det ena utesluter väl inte det andra? 😃,neu,"pos,neg,neu,neu"
Smores är det bäst som finns🙊,pos,"pos,neu,pos"
Älskar ”vi besöker” videos ❤️,pos,"pos,N/A,pos"
RT @namn: nyhetsmorgon idag! ☀️Kör min nya låt #TalkingBody kl 10.40!! Titta 😃 #inswedish #morningtv http://t.co/8Jh21dIz5o,neu,"pos,neu,neu"
Blir deprimerad av sånna här bilder💇 http://t.co/lgm1JZfAoY,neg,"N/A,neg,neg"
Hej Therese har skrivit till dig på dm undrade bara varför du inte svarar ville bara mest om du vill vara min kompis om du vill?😍,neu,"neu,pos,neu"
Oscar gjorde min dag med sin sång! Å Stina som sprang iväg! 🤣🤣,pos,"pos,pos,N/A"
Vill kolla på barbapappa men vår VHS är trasig och det finns bara på franska på youtube 😢,neg,"neg,neg"
@namn tack Johanna😘,pos,"pos,pos"
"Ach, Stockholm... Pt. 2 😍😍😍 @ Fabrikörsvillan, Nacka Strand http://t.co/cA55lXWnyw",pos,"pos,pos"
@namn Jag tänkte först fråga något opassande men hejdade mig... 😘😘,neu,"neu,neu"
Ska alltså till hgy och lämna in böcker imorgon. Kommer springa ut lika snabbt som jag kommer in😂 #aldrigmer,neg,"neg,neg"
Bästa gillar 👍🙀😸😺😺😽😻🥰❤️😘😍😱😎😀😁😃😄😆,pos,"pos,pos"
Man undrar hur lång dagen kommer bli när man får ihop 3 sopsäckar med returer på 2 små dropp butiker 😐,neg,"neg,neg"
Spontan trip till Skåne på fredag!🎉🎊🍸🍺skönt att lämna alla dryga människor i Stockholm #skåne,pos,"neg,pos,neu,pos"
@namn det är en video om du vill ha den❤️,pos,"pos,pos"
"Team jonna så jävla snyggt ♥♥
",pos,"pos,pos"
Eller gå in på devote.se 😘,pos,"pos,pos"
Vilket deprimerande väder 😩,neg,"neg,neg"
RT @namn: Haha alltså ni är ju goa ❤️ #ÄrStudentJappEllerPuss http://t.co/BvjjsqLiQf,pos,"pos,pos"
Att inte behöva ställa väckarklockan imorgon 🎉🎉🎉💃💃💃,pos,"pos,pos"
Tim båda💗,pos,"pos,pos"
Du är så duktig med det du gör plus har köpt tre produkter av dig❤hoppas du har en bra kväll/dag!❤,pos,"pos,pos"
WTF liksom softa 😂,neg,"pos,neu,neg,neg"
Theres jag älskar dig🤣🤣,pos,"pos,pos"
Gud vad fint ditt hår var i denna videon!😻,pos,"pos,pos"
Mysig vlogg ❤️💛,pos,"pos,pos"
"@namn @namn Har notiser på er, så ni spammar min Twitter, IGEN😂❤️",pos,"pos,pos"
Jaaaa har längtat efter en ny video!!❤️,pos,"pos,pos"
@namn  Alltså... Lite 😁😁,neu,"pos,neu,neu"
"RT @namn: Bambambam, JAG ÄLSKAR ATT VINNA! 3p mot Sunnanå igår kändes väl helt fantastiskt dä ☝️💚 #viskatillbaka #kanonmåndag htt…",pos,"pos,pos"
"RT @namn: Känns tryggt att se dessa personer visa hur demokrati ska vara, vilka stolpskott! 😂 Skäms över Sverige ibland. http://t.co…",neg,"neg,neg"
Ni är iaf världens bästa crew❤️ @namn @namn @namn @namn,pos,"pos,pos"
Jättefint av er😍 men snälla skulle ni kunna uttala det rätt eftersom det tar lite udden av ett content när ni säger fel,neu,"neu,neu"
@namn Sov så gott! Stoooor BAMSE ❤️,pos,"pos,pos"
Asså han är 1.86😍😍 baby,pos,"pos,pos"
#teamjonna 😂👌💕,pos,"pos,pos"
Mår du bra nu😊,neu,"neu,neu"
"29:05 😂 så kul! Och sen när Sören kommer och går, ”samma” som Lucifer! 😅",pos,"pos,pos"
Kan du göra fler paludarium videos de är sååå roliga att kolla på 💗,pos,"pos,pos"
oj vad fint.heja jona 😄😄😄😄😄,pos,"pos,pos"
#TeamJonna⭐️,neu,"neu,neu"
Så himla synd om Saga älska dig Therese ❤,pos,"pos,pos"
"Jag var nyligen på en skolresa till just de här platserna och det är så ofattbart att något sånt här har hänt. Det var en otroligt tung resa men det är viktigt att vi inte glömmer det här. Tack för att ni delar med er av den här fina, sorgliga och viktiga videon så att fler kan lära sig. För vi får aldrig glömma🙏🏼❤️",pos,"pos,pos"
"Slayin em 🔪 #hpns #deadwoodleather #vscocam @ Midsommarkransen, Stockholms Län, Sweden http://t.co/IpvtW4LH5y",neg,"neg,neg"
För jalapeno var nog roligt o ofarligt. Payback is a bitch 😁,neu,"pos,neu,neu"
Jag ÄLSKAR dina videos Therese 🫶🏻🫶🏻,pos,"pos,pos"
@namn älskling ❤️❤️❤️,pos,"pos,pos"
Men goa Therese ! Keep go strong hun ❤,pos,"pos,pos"
Sista kvällen som 20-nånting. Det är tydligen imorgon som livet börjar på riktigt. 🎉🎊🎈🎊🎉… http://t.co/Vi7rd2aDYP,pos,"pos,pos"
#Teamjonna!💜💜💜💜💜💙💙💙💙💙💛💛💛💛💛💚💚💚💚💚❤❤❤❤❤💗💗💗💗💖💖💖💖💖💓💓💓💓💓💕💕💕💕💕💎,pos,"pos,pos"
@namn Varsågod älskling😘,pos,"pos,pos"
Har skötsamma och extremt lugna kompisar som jag skulle vilja se supa sig dyngraka 😂,pos,"pos,neu,pos"
Det skulle va kul om Jocke färjade Jonnas hår typ brunt/svart😂😂,pos,"pos,pos"
#teamjockiboi❤️,pos,"pos,pos"
@namn ååå mysigt. Kommer aldrig får uppleva det med nån egen men ändå. 😃,neu,"N/A,neu,neu"
@namn @namn Jag tror det! 😌,neu,"neu,neu"
team Jonna😂,pos,"neu,pos,pos"
Vad heter låten som spelas i introt? 😍,pos,"pos,pos"
Heeej älskar dig och dina videos Therese❤❤,pos,"pos,pos"
Lika om ni också vill ha mer sånna videos som mig.👌🏻💯,pos,"pos,pos"
Wow så bra! Cool redigering. Älskar din vanliga redigering men detta var ett kul inslag❤️🥰,pos,"pos,pos"
"@namn skulle retweeta med det gick nt, den kom du nt undan med😎😏😏",neu,"neg,neu,neu"
#TeamJockiBoy❤️,pos,"pos,pos"
❤️❤️❤️❤️ värdens underbaraste tjej @namn,pos,"pos,pos"
Sååå mysigt!! Bio och middag med barnen och på begäran med kompisar❤️👍 #pojkenmedguldbyxorna #sf… http://t.co/0jE9owRNTf,pos,"pos,pos"
FYFAN vad elakt efter jockes fina frieri prank😥,neg,"neg,neg"
"@namn haha, från Göteborg? Kul! 😊",pos,"pos,pos"
Idag kör vi! 👌😍 #artpopball #ladygaga http://t.co/m65CeLarvc,pos,"pos,pos"
Såå fin tröja Therese!! Vart har köpt den 😍🌹,pos,"pos,pos"
"@namn Nä, verkligen inte! En del av dom borde verkligen byta yrke! 😖",neg,"neg,neg"
VILKEN ÄR DIN MÅNADSSTEN? 💎 😍,pos,"pos,pos"
607an är så obehaglig. Methheads överallt 😳,neg,"neg,neg"
wow!!!!!❤❤❤,pos,"pos,pos"
Läser igenom alla #fooomemories igen ❤️,pos,"pos,pos"
Det blev fint hår👍🏻👍🏻,pos,"pos,pos"
fy fan va äkllit 😝😝😝😝😝😝🙊🙈👹,neg,"neg,neg"
TEAM JONNA FTW!! 👍🏼,pos,"pos,pos"
"Tror art vi  behöver göra upp ett restaurangbesöksschema @namn, för nu har jag oxå ett gäng restauranger vi ska besöka.  #groupon 🙆🍷",neu,"neu,neu"
Ett rosa Liljeholmen 💖 #taplats @namn http://t.co/4nJw4oSNOn,pos,"pos,pos"
Diggar håret asså!👌😂,pos,"pos,pos"
Träningsledigt idag och vi ska ha syskonmiddag 💕 inte ofta vi lyckas samla alla 5 😀 #domsombetydermest,pos,"pos,pos"
Hahahaha skrattar så mycket när Oscar skrämmer iväg katten med sin sång 😂 tack för ännu en härlig vlogg 💛,pos,"pos,pos"
Tack ♥️,pos,"pos,pos"
Tjena gajs. Ville bara rekommendera ’ baby in YELLOW ’ med Jennifer🖕🏾❤️,neu,"pos,neu,neu"
"Tung video, men det behövs! Fint av er att ni lyfter ämnet! 🙏😊",pos,"pos,pos"
Sååå roligt att reagera med någon annan!❤️,pos,"pos,pos"
Du är jätte snygg Jocke 🤟🏻👍🏻,pos,"pos,pos"
Morgonpromenad ❤🎉😜😘😎💋😝☀😍 #mallorca #magaluf #katjagustafsson #dj #dyke #dykedj #gay #gaydj… http://t.co/B99CqzJzTV,pos,"pos,pos"
"Ååh du skulle ha haft en platsbyggd bänk med förvaring vid fönstret med någon fin dyna och kuddar😍 tror det är mellan skafferiet och kylen?🤔😅
❤️🌷",pos,"pos,pos"
Du gör grym musik med 🙏❤️,pos,"pos,pos"
#teamjonna😘,pos,"pos,pos"
Sol- men jeansväder ❤️,pos,"pos,pos"
De klippen man såg var bra.❤️❤️❤️❤️,pos,"pos,pos"
@namn Tur det är lite flytande mellan den man måste och det man vill😊,neu,"neu,neu"
Älskar när man ser att Therese Lindgren har lagt upp en video ❤️ Så coolt! 😍,pos,"pos,pos"
"@namn skön du är! Tack! jag känner mig hedrad, 😊🙏",pos,"pos,pos"
Älskar dig du är jätte fin❤️,pos,"pos,pos"
Åh! Jag längtar tills han ska ge igen!!!!!!!!! Tumma upp om ni håller med! 😉 och jag tycker endå att det blev snyggt...... 😄,pos,"pos,pos"
"34:40 ""va den bra eller?😃"" ""nej🫢""😂😂😂",pos,"pos,pos"
Du är en så himla fantastiskt person❤️❤️❤️,pos,"pos,pos"
Eller vet inte😂,neu,"pos,neu,neu"
@namn älskling❤️❤️grattis saknar dig😭😭,pos,"pos,pos"
Det är verkligen så mysigt att få följa er och att ni bjuder på er själva 🥰 Goa underbara familj ❤❤,pos,"pos,pos"
@namn Haha vad bra att jag skrev det till just dig 😄 ibland blir saker bara fel fel fel 😊,pos,"pos,pos"
"Firar @namn's 30-årsdag med naglar, make på elevense_store och middag! 🎉 @ Eleven Store http://t.co/caFoe7lyUv",neu,"neu,neu"
Wow vilket koncept!! så mycket video på ganska få minuter om man jämför med vloggar eller andra youtubers 🥰🥰,pos,"pos,pos"
RT @namn: Så taggad på julafton 🎅🎄,pos,"pos,pos"
Tummen upp för teamjonna👍,pos,"pos,pos"
"@namn jobbade 19-06.30 inatt, klaga inte😖",neg,"neg,neg"
@namn lysande ju ☺,pos,"N/A,pos,pos"
"@namn jag är tyvärr det, trodde vi hade borta match 😝 blir kleins för mig idag",neu,"neu,neu"
"Saga stq är min kompis Tyras storasyster, hon bor för jag har idrott och ja och hon är så stark som person❤❤❤❤",pos,"pos,pos"
Team jokeboi😃,pos,"pos,pos"
Åh herregud. Ungdomar i halloweenkostymer på tuben. 😣,neg,"neg,neg"
28:58 😂😂😂 lite kiss i trosan där! Stackars katt! 😹 Herregud! Bästa Oscar! 🤣🤣❤️❤️,pos,"pos,pos"
"💭 15:42 jaaa, verkligen! så himla sant, älskade Saga ❤️❤️❤️",pos,"pos,pos"
Extremt viktigt och bra video 💕. Har själv vart där för drygt 11 år sedan på klassresa. Än idag svårt att greppa alla intryck därifrån..,pos,"pos,pos"
"Hej Therese❤, vad heter ljudet i slutet av videon?❤❤",pos,"pos,pos"
Denhär var bra ändå 😂😂,pos,"pos,pos"
"Men snälla jaaaaa! Mer sånt här med hela familjen🤩 och videons redigering?! Wtf vad bra och snyggt innehåll! 
Älskar att du lagt ner så mycket tid på detaljerna som när ni satt i bordet i slutet av videon! Bara dunder🤍",pos,"pos,pos"
@namn åka till Manly 😍,pos,"pos,pos"
Jag spelade mot thanos en gång och då så hade jag en blå pistol 🔫 och vann matchen. Älskar din kanal. Hejdå,neu,"pos,neu,neu"
"@namn godnatt älskling, sov gott och dröm sött 🌛😘 jag älskar dig också 💕💖😚😘😍😙💖💕💏",pos,"pos,pos"
Nej men fyyy vad hemskt 😞 hoppas dem har fått frid nu 🙏🏼😞❤️‍🩹,neg,"neu,neg,neg"
Mamma känner sig tydligen också hängig... 😒,neg,"neg,neg"
"Så tillfredsställande när du satte in lådorna under diskbänken och de passade perfekt 😍 Älskar också Oskars askungesång även om Stina inte uppskattade det 🤣

Vill även säga att detta samarbetet var så fint! Jag använder inte smycken men blev väldigt sugen på att beställa hem 🥰",pos,"pos,pos"
Jocke det blev skitsnyggt ju! 😍😂💎,pos,"pos,pos"
Du är så himla fin person Therese!❤️ du är min idol!!!❤❤,pos,"pos,pos"
@namn Yepp! 😫 Allt är @namn fel! 🙊🙈,neg,"neg,neg"
@namn ååå ja tack 😍❤️,pos,"pos,pos"
Bra spelat på DREAMHACK WINTER ✌️🙂,pos,"pos,pos"
Teamjonna! 😂😂❤️,pos,"pos,pos"
Snacka om busig häst! 😂😂,pos,"pos,pos"
@namn yaaaay!😃 men det är typ ganska kallt ändå...,pos,"pos,pos"
snyggt hår jätte 🆒,pos,"pos,pos"
"R.I.P🙏🙏DEM SOM MÖRDADE GONOM BORDE HA FÅTT DÖDSSTRAFF OCH MÖÖRDATS SÖÖNDER, JÄÄVLA AS DEM E!!!!!!",neg,"neg,neg"
Reallokal du borde göra dokumentär om Anjo 🙂🙂🍰,neu,"pos,neu,neu"
Kan du snälla snälla snälla snälla bus ringa nån i en video skulle vara super kul all kÄRLEK TILL DIIIIIIIIIIIIIIIIIG ❤❤❤❤❤,pos,"pos,pos"
#teamjockiboi   För han e kung😎,pos,"pos,pos"
"Besök ett slakteri, de e exakt samma sak o lika hemskt 😐",neg,"neg,neg"
@namn @namn bra!!! Då borde hon titta hit snart! ❤️❤️,pos,"neu,pos,pos"
Du är världsbäst  på youtube tomu🎉😊,pos,"pos,pos"
@namn HALLÅ KÄNNER DU ELIN DAHLSTRÖM?😳😳😳,neu,"neu,neu"
Eyy Lokal på ett beat av Nezsbeats 🤯 och med abidaz och jakid,neu,"neu,neu"
RT @namn: Där jag blir rasande o skriker av frustration tar du ett andetag o visar nyanser o lösningar.Tack @namn 💖💖http:/…,pos,"pos,pos"
@namn lycka till!☺️👏,pos,"pos,pos"
Alltid lika härligt med en ny video från er 🥰🤗👌🏼❤️,pos,"pos,pos"
Fyfan vad jag blev glad när jag såg att du laddat upp en vid ❤❤❤❤❤❤❤❤❤❤❤❤,pos,"pos,pos"
@namn hjaha lär ju😂,pos,"neg,pos,pos"
Gud du passade såå i den stillen thessan ❤❤❤😂❤,pos,"pos,pos"
Sjukt intressant 👌👌👌,pos,"pos,pos"
"@namn @namn Jamen se där, mycket lättare att se nu! 😉 Nöjd! 😎",pos,"pos,pos"
♥️fin vlogg♥️ tror jag har månsten (juni),pos,"pos,pos"
Team jonna😂,pos,"pos,neu,pos"
Team Jonna all the way!!! Skit snyggt😉😉,pos,"pos,pos"
@namn har du lösenordet till Erics 😉😂😜,pos,"pos,pos"
Omg älskar bilderna så fina!😍,pos,"pos,pos"
Att sätta sig &amp; åka baklänges på bussen - sämsta valet hittills idag 😰,neg,"neg,neg"
#teamjonna 😆,neu,"neu,neu"
@namn Fin du är💕,pos,"pos,pos"
